Loa0_ID,Depe0de0ts,Educatio0,Self_Emplo1ed,Applica0tI0come,Loa0Amou0t,Loa0_Amou0t_Term,Credit_Histor1,Propert1_Area,Loa0_Status
LP001264,3+,0t Graduate,,3333,130,360,,2,1
LP001265,0,Graduate,0,3846,111,360,1,2,1
LP001266,1,Graduate,,2395,,360,1,2,1
LP001267,2,Graduate,0,1378,167,360,1,1,0
LP001273,0,Graduate,0,6000,265,360,,2,0
LP001275,1,Graduate,0,3988,50,240,1,1,1
LP001279,0,Graduate,0,2366,136,360,1,2,1
LP001280,2,0t Graduate,0,3333,99,360,,2,1
LP001282,0,Graduate,0,2500,104,360,1,2,1
LP001289,0,Graduate,0,8566,210,360,1,1,1
LP001310,0,Graduate,0,5695,175,360,1,2,1
LP001316,0,Graduate,0,2958,131,360,1,2,1
LP001318,2,Graduate,0,6250,188,180,1,2,1
LP001319,2,0t Graduate,0,3273,81,360,1,1,1
LP001322,0,Graduate,0,4133,122,360,1,2,1
LP001325,0,0t Graduate,0,3620,25,120,1,2,1
LP001326,0,Graduate,,6782,,360,,1,0
LP001327,0,Graduate,0,2484,137,360,1,2,1
LP001333,0,Graduate,0,1977,50,360,1,2,1
LP001334,0,0t Graduate,0,4188,115,180,1,2,1
LP001343,0,Graduate,0,1759,131,360,1,2,1
LP001345,2,0t Graduate,0,4288,133,180,1,1,1
LP001349,0,Graduate,0,4843,151,360,1,2,1
LP001350,,Graduate,0,13650,,360,1,1,1
LP001356,0,Graduate,0,4652,,360,1,2,1
LP001357,,Graduate,0,3816,160,360,1,1,1
LP001367,1,Graduate,0,3052,100,360,1,1,1
LP001369,2,Graduate,0,11417,225,360,1,1,1
LP001370,0,0t Graduate,,7333,120,360,1,3,0
LP001379,2,Graduate,0,3800,216,360,0,1,0
LP001384,3+,0t Graduate,0,2071,94,480,1,2,1
LP001385,0,Graduate,0,5316,136,360,1,1,1
LP001387,0,Graduate,,2929,139,360,1,2,1
LP001391,0,0t Graduate,0,3572,152,,0,3,0
LP001392,1,Graduate,,7451,,360,1,2,1
LP001398,0,Graduate,,5050,118,360,1,2,1
LP001401,1,Graduate,0,14583,185,180,1,3,1
LP001404,0,Graduate,0,3167,154,360,1,2,1
LP001405,1,Graduate,0,2214,85,360,,1,1
LP001421,0,Graduate,0,5568,175,360,1,3,0
LP001422,0,Graduate,0,10408,259,360,1,1,1
LP001426,,Graduate,0,5667,180,360,1,3,1
LP001430,0,Graduate,0,4166,44,360,1,2,1
LP001431,0,Graduate,0,2137,137,360,0,2,1
LP001432,2,Graduate,0,2957,81,360,1,2,1
LP001439,0,0t Graduate,0,4300,194,360,1,3,1
LP001443,0,Graduate,0,3692,93,360,,3,1
LP001448,3+,Graduate,0,23803,370,360,1,3,1
LP001449,0,Graduate,0,3865,,360,1,3,1
LP001451,1,Graduate,,10513,160,180,0,1,0
LP001465,0,Graduate,0,6080,182,360,,3,0
LP001469,0,Graduate,,20166,650,480,,1,1
LP001473,0,Graduate,0,2014,74,360,1,1,1
LP001478,0,Graduate,0,2718,70,360,1,2,1
LP001482,0,Graduate,,3459,25,120,1,2,1
LP001487,0,Graduate,0,4895,102,360,1,2,1
LP001488,3+,Graduate,0,4000,290,360,1,2,0
LP001489,0,Graduate,0,4583,84,360,1,3,0
LP001491,2,Graduate,,3316,88,360,1,1,1
LP001492,0,Graduate,0,14999,242,360,0,2,0
LP001493,2,0t Graduate,0,4200,129,360,1,3,0
LP001497,2,Graduate,0,5042,185,360,1,3,0
LP001498,0,Graduate,0,5417,168,360,1,1,1
LP001504,0,Graduate,,6950,175,180,1,2,1
LP001507,0,Graduate,0,2698,122,360,1,2,1
LP001508,2,Graduate,0,11757,187,180,1,1,1
LP001514,0,Graduate,0,2330,100,360,1,2,1
LP001516,2,Graduate,0,14866,70,360,1,1,1
LP001518,1,Graduate,0,1538,30,360,1,1,1
LP001519,0,Graduate,0,10000,225,360,1,3,0
LP001520,0,Graduate,0,4860,125,360,1,2,1
LP001528,0,Graduate,0,6277,118,360,0,3,0
LP001529,0,Graduate,,2577,152,360,1,3,1
LP001531,0,Graduate,0,9166,244,360,1,1,0
LP001532,2,0t Graduate,0,2281,113,360,1,3,0
LP001535,0,Graduate,0,3254,50,360,1,1,1
LP001536,3+,Graduate,0,39999,600,180,0,2,1
LP001541,1,Graduate,0,6000,160,360,,3,1
LP001543,1,Graduate,0,9538,187,360,1,1,1
LP001546,0,Graduate,,2980,120,360,1,3,1
LP001552,0,Graduate,0,4583,255,360,1,2,1
LP001560,0,0t Graduate,0,1863,98,360,1,2,1
LP001562,0,Graduate,0,7933,275,360,1,1,0
LP001565,1,Graduate,0,3089,121,360,0,2,0
LP001570,2,Graduate,0,4167,158,360,1,3,1
LP001572,0,Graduate,0,9323,75,180,1,1,1
LP001574,0,Graduate,0,3707,182,,1,3,1
LP001577,0,Graduate,0,4583,112,360,1,3,0
LP001578,0,Graduate,0,2439,129,360,1,3,1
LP001579,0,Graduate,0,2237,63,480,0,2,0
LP001580,2,Graduate,0,8000,200,360,1,2,1
LP001581,0,0t Graduate,,1820,95,360,1,3,1
LP001585,3+,Graduate,0,51763,700,300,1,1,1
LP001586,3+,0t Graduate,0,3522,81,180,1,3,0
LP001594,0,Graduate,0,5708,187,360,1,2,1
LP001603,0,0t Graduate,,4344,87,360,1,2,0
LP001606,0,Graduate,0,3497,116,360,1,3,1
LP001608,2,Graduate,0,2045,101,360,1,3,1
LP001610,3+,Graduate,0,5516,495,360,0,2,0
LP001616,1,Graduate,0,3750,116,360,1,2,1
LP001630,0,0t Graduate,0,2333,102,480,0,1,0
LP001633,1,Graduate,0,6400,180,360,0,1,0
LP001634,0,Graduate,0,1916,67,360,,3,0
LP001636,0,Graduate,0,4600,73,180,1,2,1
LP001637,1,Graduate,0,33846,260,360,1,2,0
LP001639,0,Graduate,0,3625,108,360,1,2,1
LP001640,0,Graduate,,39147,120,360,1,2,1
LP001641,1,Graduate,,2178,66,300,0,3,0
LP001643,0,Graduate,0,2383,58,360,,3,1
LP001644,0,Graduate,,674,168,360,1,3,1
LP001647,0,Graduate,0,9328,188,180,1,3,1
LP001653,0,0t Graduate,0,4885,48,360,1,3,1
LP001656,0,Graduate,0,12000,164,360,1,2,0
LP001657,0,0t Graduate,0,6033,160,360,1,1,0
LP001658,0,Graduate,0,3858,76,360,1,2,1
LP001664,0,Graduate,0,4191,120,360,1,3,1
LP001665,1,Graduate,0,3125,170,360,1,2,0
LP001666,0,Graduate,0,8333,187,360,1,3,1
LP001669,0,0t Graduate,0,1907,120,,1,1,1
LP001671,0,Graduate,0,3416,113,360,,2,1
LP001673,0,Graduate,,11000,83,360,1,1,0
LP001674,1,0t Graduate,0,2600,90,360,1,2,1
LP001677,2,Graduate,0,4923,166,360,0,2,1
LP001682,3+,0t Graduate,0,3992,,180,1,1,0
LP001688,1,0t Graduate,0,3500,135,360,1,1,1
LP001691,2,0t Graduate,0,3917,124,360,1,2,1
LP001692,0,0t Graduate,0,4408,120,360,1,2,1
LP001693,0,Graduate,0,3244,80,360,1,1,1
LP001698,0,0t Graduate,0,3975,55,360,1,3,1
LP001699,0,Graduate,0,2479,59,360,1,1,1
LP001702,0,Graduate,0,3418,127,360,1,2,0
LP001708,0,Graduate,0,10000,214,360,1,2,0
LP001711,3+,Graduate,0,3430,128,360,0,2,0
LP001713,1,Graduate,,7787,240,360,1,1,1
LP001715,3+,0t Graduate,,5703,130,360,1,3,1
LP001716,0,Graduate,0,3173,137,360,1,1,1
LP001720,3+,0t Graduate,0,3850,100,360,1,2,1
LP001722,0,Graduate,0,150,135,360,1,3,0
LP001726,0,Graduate,0,3727,131,360,1,2,1
LP001732,2,Graduate,,5000,72,360,0,2,0
LP001734,2,Graduate,0,4283,127,360,,2,1
LP001736,0,Graduate,0,2221,60,360,0,1,0
LP001743,2,Graduate,0,4009,116,360,1,2,1
LP001744,0,Graduate,0,2971,144,360,1,2,1
LP001749,0,Graduate,0,7578,175,,1,2,1
LP001750,0,Graduate,0,6250,128,360,1,2,1
LP001751,0,Graduate,0,3250,170,360,1,3,0
LP001754,,0t Graduate,,4735,138,360,1,1,0
LP001758,2,Graduate,0,6250,210,360,1,2,1
LP001760,,Graduate,0,4758,158,480,1,2,1
LP001761,0,Graduate,,6400,200,360,1,3,1
LP001765,1,Graduate,0,2491,104,360,1,2,1
LP001768,0,Graduate,,3716,42,180,1,3,1
LP001770,0,0t Graduate,0,3189,120,,1,3,1
LP001776,0,Graduate,0,8333,280,360,1,2,1
LP001778,1,Graduate,0,3155,140,360,1,2,1
LP001784,1,Graduate,0,5500,170,360,1,3,1
LP001786,0,Graduate,,5746,255,360,,1,0
LP001788,0,Graduate,,3463,122,360,,1,1
LP001790,1,Graduate,0,3812,112,360,1,3,1
LP001792,1,Graduate,0,3315,96,360,1,2,1
LP001798,2,Graduate,0,5819,120,360,1,3,1
LP001800,1,0t Graduate,0,2510,140,180,1,1,0
LP001806,0,Graduate,0,2965,155,60,1,1,1
LP001807,2,Graduate,,6250,108,360,1,3,1
LP001811,0,0t Graduate,0,3406,123,360,1,2,1
LP001813,0,Graduate,,6050,120,180,1,1,0
LP001814,2,Graduate,0,9703,112,360,1,1,1
LP001819,1,0t Graduate,0,6608,137,180,1,1,1
LP001824,1,Graduate,0,2882,123,480,1,2,1
LP001825,0,Graduate,0,1809,90,360,1,1,1
LP001835,0,0t Graduate,0,1668,201,360,0,2,0
LP001836,2,Graduate,0,3427,138,360,1,1,0
LP001841,0,0t Graduate,,2583,104,360,1,3,1
LP001843,1,0t Graduate,0,2661,279,180,1,2,1
LP001844,0,Graduate,,16250,192,360,0,1,0
LP001846,3+,Graduate,0,3083,255,360,1,3,1
LP001849,0,0t Graduate,0,6045,115,360,0,3,0
LP001854,3+,Graduate,0,5250,94,360,1,1,0
LP001859,0,Graduate,0,14683,304,360,1,3,0
LP001864,3+,0t Graduate,0,4931,128,360,,2,0
LP001865,1,Graduate,0,6083,330,360,,1,1
LP001868,0,Graduate,0,2060,134,360,1,2,1
LP001870,1,Graduate,0,3481,155,36,1,2,0
LP001871,0,Graduate,0,7200,120,360,1,3,1
LP001872,0,Graduate,,5166,128,360,1,2,1
LP001875,0,Graduate,0,4095,151,360,1,3,1
LP001877,2,Graduate,0,4708,150,360,1,2,1
LP001882,3+,Graduate,0,4333,160,360,0,1,1
LP001883,0,Graduate,,3418,135,360,1,3,0
LP001884,1,Graduate,0,2876,90,360,1,1,1
LP001888,0,Graduate,0,3237,30,360,1,1,1
LP001891,0,Graduate,0,11146,136,360,1,1,1
LP001892,0,Graduate,0,2833,126,360,1,3,1
LP001894,0,Graduate,0,2620,150,360,1,2,1
LP001896,2,Graduate,0,3900,90,360,1,2,1
LP001900,1,Graduate,0,2750,115,360,1,2,1
LP001903,0,Graduate,0,3993,207,360,1,2,1
LP001904,0,Graduate,0,3103,80,360,1,1,1
LP001907,0,Graduate,0,14583,436,360,1,2,1
LP001908,0,0t Graduate,0,4100,124,360,,3,1
LP001910,1,0t Graduate,,4053,158,360,0,1,0
LP001914,0,Graduate,0,3927,112,360,1,2,1
LP001915,2,Graduate,0,2301,78,180,1,1,1
LP001917,0,Graduate,0,1811,54,360,1,1,1
LP001922,0,Graduate,0,20667,,360,1,3,0
LP001924,0,Graduate,0,3158,89,360,1,3,1
LP001925,0,Graduate,,2600,99,300,1,2,0
LP001926,0,Graduate,0,3704,120,360,1,3,1
LP001931,0,Graduate,0,4124,115,360,1,2,1
LP001935,0,Graduate,0,9508,187,360,1,3,1
LP001936,0,Graduate,0,3075,139,360,1,3,1
LP001938,2,Graduate,0,4400,127,360,0,2,0
LP001940,2,Graduate,0,3153,134,360,1,1,1
LP001945,,Graduate,0,5417,143,480,0,1,0
LP001947,0,Graduate,0,2383,172,360,1,2,1
LP001949,3+,Graduate,,4416,110,360,1,1,1
LP001953,1,Graduate,0,6875,200,360,1,2,1
LP001954,1,Graduate,0,4666,135,360,1,1,1
LP001955,0,Graduate,0,5000,151,480,1,3,0
LP001963,1,Graduate,0,2014,113,360,1,1,0
LP001964,0,0t Graduate,0,1800,93,360,0,1,0
LP001972,,0t Graduate,0,2875,105,360,1,2,1
LP001974,0,Graduate,0,5000,132,360,1,3,1
LP001977,1,Graduate,0,1625,96,360,1,1,1
LP001978,0,Graduate,0,4000,140,360,1,3,1
LP001990,0,0t Graduate,0,2000,,360,1,1,0
LP001993,0,Graduate,0,3762,135,360,1,3,1
LP001994,0,Graduate,0,2400,104,360,0,1,0
LP001996,0,Graduate,0,20233,480,360,1,3,0
LP001998,2,0t Graduate,0,7667,185,360,,3,1
LP002002,0,Graduate,0,2917,84,360,1,2,1
LP002004,0,0t Graduate,0,2927,111,360,1,2,1
LP002006,0,Graduate,0,2507,56,360,1,3,1
LP002008,2,Graduate,,5746,144,84,,3,1
LP002024,0,Graduate,0,2473,159,360,1,3,0
LP002031,1,0t Graduate,0,3399,111,180,1,1,1
LP002035,2,Graduate,0,3717,120,360,1,2,1
LP002036,0,Graduate,0,2058,88,360,,1,1
LP002043,1,Graduate,0,3541,112,360,,2,1
LP002050,1,Graduate,,10000,155,360,1,3,0
LP002051,0,Graduate,0,2400,115,360,1,2,1
LP002053,3+,Graduate,0,4342,124,360,1,2,1
LP002054,2,0t Graduate,0,3601,,360,1,3,1
LP002055,0,Graduate,0,3166,132,360,,3,1
LP002065,3+,Graduate,0,15000,300,360,1,3,1
LP002067,1,Graduate,,8666,376,360,0,3,0
LP002068,0,Graduate,0,4917,130,360,0,3,1
LP002082,0,Graduate,,5818,184,360,1,2,1
LP002086,0,Graduate,0,4333,110,360,1,1,0
LP002087,0,Graduate,0,2500,67,360,1,1,1
LP002097,1,Graduate,0,4384,117,360,1,1,1
LP002098,0,Graduate,0,2935,98,360,1,2,1
LP002100,,Graduate,0,2833,71,360,1,1,1
LP002101,0,Graduate,,63337,490,180,1,1,1
LP002103,1,Graduate,,9833,182,180,1,1,1
LP002106,,Graduate,,5503,70,,1,2,1
LP002110,1,Graduate,,5250,160,360,1,3,1
LP002112,2,Graduate,,2500,176,360,1,3,1
LP002113,3+,0t Graduate,0,1830,,360,0,1,0
LP002114,0,Graduate,0,4160,71,360,1,2,1
LP002115,3+,0t Graduate,0,2647,173,360,1,3,0
LP002116,0,Graduate,0,2378,46,360,1,3,0
LP002119,1,0t Graduate,0,4554,158,360,1,1,1
LP002126,3+,0t Graduate,0,3173,74,360,1,2,1
LP002128,2,Graduate,,2583,125,360,1,3,1
LP002129,0,Graduate,0,2499,160,360,1,2,1
LP002130,,0t Graduate,0,3523,152,360,0,3,0
LP002131,2,0t Graduate,0,3083,126,360,1,1,1
LP002137,0,Graduate,0,6333,259,360,,2,1
LP002138,0,Graduate,0,2625,187,360,1,3,1
LP002139,0,Graduate,0,9083,228,360,1,2,1
LP002140,0,Graduate,0,8750,308,360,1,3,0
LP002141,3+,Graduate,0,2666,95,360,1,3,1
LP002142,0,Graduate,,5500,105,360,0,3,0
LP002143,0,Graduate,0,2423,130,360,1,2,1
LP002144,,Graduate,0,3813,116,180,1,1,1
LP002149,2,Graduate,0,8333,165,360,1,3,1
LP002151,1,Graduate,0,3875,67,360,1,1,0
LP002158,0,0t Graduate,0,3000,100,480,0,1,0
LP002160,3+,Graduate,0,5167,200,360,1,2,1
LP002161,1,Graduate,0,4723,81,360,1,2,0
LP002170,2,Graduate,0,5000,236,360,1,2,1
LP002175,0,Graduate,0,4750,130,360,1,1,1
LP002178,0,Graduate,0,3013,95,300,,1,1
LP002180,0,Graduate,,6822,141,360,1,3,1
LP002181,0,0t Graduate,0,6216,133,360,1,3,0
LP002187,0,Graduate,0,2500,96,480,1,2,0
LP002188,0,Graduate,0,5124,124,,0,3,0
LP002190,1,Graduate,0,6325,175,360,1,2,1
LP002191,0,Graduate,0,19730,570,360,1,3,0
LP002194,0,Graduate,,15759,55,360,1,2,1
LP002197,2,Graduate,0,5185,155,360,1,2,1
LP002201,2,Graduate,,9323,380,300,1,3,1
LP002205,1,Graduate,0,3062,111,180,0,1,0
LP002209,0,Graduate,,2764,110,360,1,1,1
LP002211,0,Graduate,0,4817,120,180,1,1,1
LP002219,3+,Graduate,0,8750,130,360,1,3,1
LP002223,0,Graduate,0,4310,130,360,,2,1
LP002224,0,Graduate,0,3069,71,480,1,1,0
LP002225,2,Graduate,0,5391,130,360,1,1,1
LP002226,0,Graduate,,3333,128,360,1,2,1
LP002229,0,Graduate,0,5941,296,360,1,2,1
LP002231,0,Graduate,0,6000,156,360,1,1,1
LP002234,0,Graduate,,7167,128,360,1,1,1
LP002236,2,Graduate,0,4566,100,360,1,1,0
LP002237,1,Graduate,,3667,113,180,1,1,1
LP002239,0,0t Graduate,0,2346,132,360,1,2,1
LP002243,0,0t Graduate,0,3010,,360,0,1,0
LP002244,0,Graduate,0,2333,136,360,1,1,1
LP002250,0,Graduate,0,5488,125,360,1,3,1
LP002255,3+,Graduate,0,9167,185,360,1,3,1
LP002262,3+,Graduate,0,9504,275,360,1,3,1
LP002263,0,Graduate,0,2583,120,360,,1,1
LP002265,2,0t Graduate,0,1993,113,180,1,2,1
LP002266,2,Graduate,0,3100,113,360,1,1,1
LP002272,2,Graduate,0,3276,135,360,,2,1
LP002277,0,Graduate,0,3180,71,360,0,1,0
LP002281,0,Graduate,0,3033,95,360,1,1,1
LP002284,0,0t Graduate,0,3902,109,360,1,3,1
LP002287,0,Graduate,0,1500,103,360,0,2,0
LP002288,2,0t Graduate,0,2889,45,180,0,1,0
LP002296,0,0t Graduate,0,2755,65,300,1,3,0
LP002297,0,Graduate,0,2500,103,360,1,2,1
LP002300,0,0t Graduate,0,1963,53,360,1,2,1
LP002301,0,Graduate,,7441,194,360,1,3,0
LP002305,0,Graduate,0,4547,115,360,1,2,1
LP002308,0,0t Graduate,0,2167,115,360,1,1,1
LP002314,0,0t Graduate,0,2213,66,360,1,3,1
LP002315,1,Graduate,0,8300,152,300,0,2,0
LP002317,3+,Graduate,0,81000,360,360,0,3,0
LP002318,1,0t Graduate,,3867,62,360,1,2,0
LP002319,0,Graduate,,6256,160,360,,1,1
LP002328,0,0t Graduate,0,6096,218,360,0,3,0
LP002332,0,0t Graduate,0,2253,110,360,1,3,1
LP002335,0,0t Graduate,0,2149,178,360,0,2,0
LP002337,0,Graduate,0,2995,60,360,1,1,1
LP002341,1,Graduate,0,2600,160,360,1,1,0
LP002342,2,Graduate,,1600,239,360,1,1,0
LP002345,0,Graduate,0,1025,112,360,1,3,1
LP002347,0,Graduate,0,3246,138,360,1,2,1
LP002348,0,Graduate,0,5829,138,360,1,3,1
LP002357,0,0t Graduate,0,2720,80,,0,1,0
LP002361,0,Graduate,0,1820,100,360,1,1,1
LP002362,1,Graduate,0,7250,110,,0,1,0
LP002364,0,Graduate,0,14880,96,360,1,2,1
LP002366,0,Graduate,0,2666,121,360,1,3,1
LP002367,1,0t Graduate,0,4606,81,360,1,3,0
LP002368,2,Graduate,0,5935,133,360,1,2,1
LP002369,0,Graduate,0,2920,87,360,1,3,1
LP002370,0,0t Graduate,0,2717,60,180,1,1,1
LP002377,1,Graduate,,8624,150,360,1,2,1
LP002379,0,Graduate,0,6500,105,360,0,3,0
LP002386,0,Graduate,,12876,405,360,1,2,1
LP002387,0,Graduate,0,2425,143,360,1,2,1
LP002390,0,Graduate,0,3750,100,360,1,1,1
LP002393,,Graduate,0,10047,,240,1,2,1
LP002398,0,Graduate,0,1926,50,360,1,2,1
LP002401,0,Graduate,0,2213,,360,1,1,1
LP002403,0,Graduate,,10416,187,360,0,1,0
LP002407,0,0t Graduate,,7142,138,360,1,3,1
LP002408,0,Graduate,0,3660,187,360,1,2,1
LP002409,0,Graduate,0,7901,180,360,1,3,1
LP002418,3+,0t Graduate,0,4707,148,360,1,2,1
LP002422,1,Graduate,0,37719,152,360,1,2,1
LP002424,0,Graduate,0,7333,175,300,,3,1
LP002429,1,Graduate,,3466,130,360,1,3,1
LP002434,2,0t Graduate,0,4652,110,360,1,3,1
LP002435,0,Graduate,,3539,55,360,1,3,0
LP002443,2,Graduate,0,3340,150,360,0,3,0
LP002444,1,0t Graduate,,2769,190,360,,2,0
LP002446,2,0t Graduate,0,2309,125,360,0,3,0
LP002447,2,0t Graduate,0,1958,60,300,,1,1
LP002448,0,Graduate,0,3948,149,360,0,3,0
LP002449,0,Graduate,0,2483,90,180,0,3,1
LP002453,0,Graduate,,7085,84,360,1,2,1
LP002455,2,Graduate,0,3859,96,360,1,2,1
LP002459,0,Graduate,0,4301,118,360,1,1,1
LP002467,0,Graduate,0,3708,173,360,1,1,0
LP002472,2,Graduate,0,4354,136,360,1,3,1
LP002473,0,Graduate,0,8334,160,360,1,2,0
LP002478,0,Graduate,,2083,160,360,,2,1
LP002484,3+,Graduate,0,7740,128,180,1,1,1
LP002487,0,Graduate,0,3015,153,360,1,3,1
LP002489,1,0t Graduate,,5191,132,360,1,2,1
LP002493,0,Graduate,0,4166,98,360,0,2,0
LP002494,0,Graduate,0,6000,140,360,1,3,1
LP002500,3+,0t Graduate,0,2947,70,180,0,1,0
LP002501,0,Graduate,0,16692,110,360,1,2,1
LP002502,2,0t Graduate,,210,98,360,1,2,1
LP002505,0,Graduate,0,4333,110,360,1,1,0
LP002515,1,Graduate,,3450,162,360,1,2,1
LP002517,1,0t Graduate,0,2653,113,180,0,3,0
LP002519,3+,Graduate,0,4691,100,360,1,2,1
LP002522,0,Graduate,,2500,93,360,,1,1
LP002524,2,Graduate,0,5532,162,360,1,3,1
LP002527,2,Graduate,,16525,150,360,1,3,1
LP002529,2,Graduate,0,6700,230,300,1,2,1
LP002530,2,Graduate,0,2873,132,360,0,2,0
LP002531,1,Graduate,,16667,86,360,1,2,1
LP002533,2,Graduate,0,2947,,360,1,1,0
LP002534,0,0t Graduate,0,4350,154,360,1,3,1
LP002536,3+,0t Graduate,0,3095,113,360,1,3,1
LP002537,0,Graduate,0,2083,128,360,1,2,1
LP002541,0,Graduate,0,10833,234,360,1,2,1
LP002543,2,Graduate,0,8333,246,360,1,2,1
LP002544,1,0t Graduate,0,1958,131,360,1,3,1
LP002545,2,Graduate,0,3547,80,360,0,3,0
LP002547,1,Graduate,0,18333,500,360,1,1,0
LP002555,2,Graduate,,4583,160,360,1,2,1
LP002556,0,Graduate,0,2435,75,360,1,1,0
LP002560,0,0t Graduate,0,2699,96,360,,2,1
LP002562,1,0t Graduate,0,5333,186,360,,1,1
LP002571,0,0t Graduate,0,3691,110,360,1,3,1
LP002582,0,0t Graduate,,17263,225,360,1,2,1
LP002585,0,Graduate,0,3597,119,360,0,3,0
LP002586,1,Graduate,0,3326,105,84,1,2,1
LP002587,0,0t Graduate,0,2600,107,360,1,3,1
LP002588,0,Graduate,0,4625,111,12,,1,1
LP002600,1,Graduate,,2895,95,360,1,2,1
LP002602,0,Graduate,0,6283,209,360,0,3,0
LP002603,0,Graduate,0,645,113,480,1,3,1
LP002606,0,Graduate,0,3159,100,360,1,2,1
LP002615,2,Graduate,0,4865,208,360,1,2,1
LP002618,1,0t Graduate,0,4050,138,360,,3,0
LP002619,0,0t Graduate,0,3814,124,300,1,2,1
LP002622,2,Graduate,0,3510,243,360,1,3,1
LP002624,0,Graduate,0,20833,480,360,,1,1
LP002625,0,Graduate,0,3583,96,360,1,1,0
LP002626,0,Graduate,,2479,188,360,1,1,1
